,active,Astapor,King's Landing,Winterfell,Unknown,iPhone,trips_in_first_30_days,avg_rating_of_driver,avg_surge,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver
54,No,1,0,0,0,1,0,4.0,1.0,1,100.0,5.01,5.0
55,No,0,0,1,0,1,4,5.0,1.0,0,100.0,2.42,4.8
56,No,0,1,0,0,1,9,4.7,1.17,1,66.7,3.55,4.9
57,No,0,0,1,0,1,6,5.0,1.0,1,67.6,3.06,4.7
58,No,0,1,0,0,1,3,5.0,1.0,0,42.9,3.3,4.8
59,No,1,0,0,0,1,0,5.0,1.0,1,0.0,4.67,5.0
60,No,1,0,0,0,0,3,5.0,1.0,1,50.0,10.83,5.0
61,No,0,0,1,0,1,7,3.7,1.0,0,55.2,1.55,4.5
62,No,0,0,1,0,0,5,4.0,1.0,0,80.0,1.13,4.4
63,No,0,0,1,0,1,11,4.1,1.0,1,76.9,4.89,4.6
64,No,1,0,0,0,0,4,5.0,1.0,1,75.0,5.36,5.0
65,No,0,1,0,0,1,1,4.3,1.02,0,90.0,4.2,5.0
66,No,1,0,0,0,0,1,5.0,1.17,0,33.3,6.08,5.0
67,No,0,1,0,0,1,8,4.2,1.0,1,50.0,2.15,4.9
68,No,0,0,1,0,1,2,4.4,1.0,1,50.0,6.86,4.9
69,No,0,0,1,0,1,3,3.0,1.0,1,63.6,4.08,4.9
70,No,0,0,1,0,0,0,5.0,1.0,0,0.0,4.99,5.0
71,No,0,1,0,0,1,14,4.9,1.09,0,50.0,10.79,4.9
72,No,1,0,0,0,1,1,3.0,1.0,0,100.0,9.14,5.0
73,No,1,0,0,0,1,2,5.0,1.0,1,50.0,5.25,5.0
74,No,0,1,0,0,1,1,4.7,1.0,1,100.0,3.81,5.0
75,No,1,0,0,0,1,1,4.8,1.0,1,36.4,2.65,5.0
76,No,0,0,1,0,0,1,5.0,1.0,0,33.3,10.29,3.7
77,No,0,0,1,0,0,1,4.4,1.05,0,63.6,12.32,4.7
78,No,1,0,0,0,1,0,4.0,1.0,0,100.0,1.16,4.3
79,No,0,0,1,0,0,1,5.0,1.0,0,100.0,0.0,5.0
80,No,0,0,1,0,1,0,5.0,1.0,1,85.7,16.85,5.0
81,No,1,0,0,0,0,3,4.3,1.06,1,88.9,2.67,4.9
82,No,0,0,1,0,1,2,4.9,1.0,1,41.2,5.55,4.8
83,No,0,1,0,0,1,0,5.0,1.0,0,0.0,1.58,5.0
84,No,1,0,0,0,0,0,5.0,1.0,1,33.3,1.78,5.0
85,No,0,0,1,0,1,0,5.0,1.0,1,100.0,6.1,4.8
86,No,0,0,1,0,1,0,4.4,1.32,1,90.0,8.14,4.6
87,No,1,0,0,0,0,2,5.0,1.0,0,100.0,6.04,4.5
88,No,1,0,0,0,1,0,4.8,1.3,0,20.0,2.81,4.3
89,No,0,0,1,0,1,3,5.0,1.0,0,0.0,2.0,5.0
90,No,1,0,0,0,0,0,4.5,1.0,1,0.0,7.4,5.0
91,No,1,0,0,0,0,0,5.0,1.0,0,100.0,1.2,4.0
92,No,0,1,0,0,1,0,5.0,1.0,1,100.0,2.64,5.0
93,No,0,0,1,0,1,2,3.8,1.06,1,37.5,3.33,4.8
94,No,0,1,0,1,0,0,5.0,1.0,0,100.0,2.88,5.0
95,No,0,0,1,0,1,4,4.9,1.0,0,43.8,3.22,4.5
96,No,0,0,1,0,1,1,5.0,1.0,0,100.0,13.78,5.0
97,No,0,1,0,0,1,4,4.4,1.0,1,45.5,10.47,4.6
98,No,0,1,0,0,1,2,5.0,1.0,1,16.7,2.27,5.0
99,No,0,0,1,0,0,3,3.8,1.06,0,41.7,1.68,4.7
100,No,0,1,0,0,1,1,4.5,1.1,1,10.0,3.57,4.8
101,No,0,1,0,0,1,2,5.0,1.0,0,40.0,11.63,4.8
102,No,0,0,1,0,1,0,5.0,1.0,1,100.0,0.95,5.0
103,No,0,1,0,0,1,11,5.0,1.03,1,57.5,4.86,4.7
104,No,0,0,1,0,1,0,5.0,1.0,1,100.0,4.97,5.0
105,No,0,0,1,0,1,7,3.7,1.09,0,57.7,5.44,4.6
106,No,1,0,0,0,1,0,4.8,1.21,1,28.6,3.42,5.0
107,No,0,1,0,0,1,10,4.5,1.14,0,62.9,1.64,4.8
108,No,0,0,1,0,1,0,5.0,1.17,0,66.7,4.43,4.7
109,No,0,0,1,0,1,0,5.0,1.0,1,0.0,4.01,5.0
110,No,0,0,1,0,1,2,4.0,1.0,1,50.0,2.1,4.4
111,No,0,0,1,0,1,2,5.0,1.0,1,50.0,7.63,5.0
112,No,0,0,1,0,1,4,4.5,1.0,0,0.0,1.89,4.5
113,No,0,0,1,0,0,1,4.0,1.0,0,100.0,3.18,5.0
114,No,0,0,1,0,0,1,5.0,1.0,0,20.0,3.72,5.0
115,No,1,0,0,0,1,0,5.0,1.0,0,100.0,3.8,4.7
116,No,1,0,0,0,0,1,5.0,1.0,0,0.0,18.03,5.0
117,No,1,0,0,0,1,1,5.0,1.0,1,30.0,2.92,4.7
118,No,0,1,0,0,1,0,4.9,1.0,1,42.9,2.03,4.7
119,No,1,0,0,0,1,1,5.0,1.0,0,0.0,12.6,5.0
120,No,0,1,0,0,1,2,5.0,1.0,1,42.9,2.86,5.0
121,No,0,1,0,0,0,5,5.0,1.0,1,100.0,18.57,5.0
122,No,0,0,1,0,0,0,5.0,1.0,0,100.0,1.73,5.0
123,No,1,0,0,0,0,2,5.0,1.0,0,100.0,3.37,3.5
124,No,0,0,1,0,1,0,1.0,1.0,1,100.0,2.11,5.0
125,No,0,0,1,0,1,1,4.0,1.0,0,100.0,2.2,5.0
126,No,0,0,1,0,0,1,5.0,1.0,0,50.0,3.88,5.0
127,No,1,0,0,0,0,1,2.0,1.0,0,100.0,9.77,5.0
128,No,1,0,0,0,0,3,4.5,1.0,1,0.0,1.75,5.0
129,No,1,0,0,1,0,0,5.0,1.0,0,100.0,20.32,5.0
130,No,0,1,0,0,1,0,5.0,1.0,0,75.0,14.37,5.0
131,No,1,0,0,0,1,1,4.0,1.0,0,100.0,4.46,2.0
132,No,1,0,0,0,1,1,4.0,1.0,0,100.0,12.52,5.0
133,No,1,0,0,0,1,2,3.9,1.02,0,69.0,4.2,4.6
134,No,0,0,1,0,0,1,3.0,1.0,1,0.0,2.74,4.0
135,No,0,1,0,0,1,1,5.0,1.0,0,0.0,7.54,5.0
136,No,0,0,1,0,1,0,5.0,1.0,1,75.0,10.16,5.0
137,No,0,1,0,0,1,1,5.0,1.05,0,20.0,3.15,3.8
138,No,0,0,1,0,1,1,5.0,1.0,0,0.0,4.54,5.0
139,No,0,0,1,0,1,2,5.0,1.0,1,33.3,8.91,5.0
140,No,0,0,1,0,1,3,4.5,1.0,1,20.0,4.42,4.5
141,No,0,0,1,0,1,4,5.0,1.0,0,100.0,5.99,3.0
142,No,0,1,0,0,1,0,5.0,1.04,1,42.9,1.78,5.0
143,No,0,0,1,0,1,1,5.0,1.0,0,100.0,1.27,5.0
144,No,0,0,1,0,1,3,4.0,1.0,1,62.5,8.0,4.8
145,No,0,0,1,0,1,0,5.0,1.0,0,100.0,4.58,5.0
146,No,0,0,1,0,1,22,4.6,1.02,1,83.8,2.34,4.6
147,No,0,0,1,0,1,2,4.6,1.0,0,57.1,2.5,4.5
148,No,0,1,0,0,1,2,4.5,1.2,1,52.2,6.87,5.0
149,No,0,0,1,0,1,0,5.0,1.0,0,66.7,5.28,5.0
150,No,1,0,0,0,1,0,5.0,1.0,1,100.0,2.09,5.0
151,No,0,0,1,0,1,0,5.0,1.0,0,100.0,3.69,5.0
152,No,1,0,0,0,0,3,5.0,1.0,0,0.0,2.52,5.0
153,No,1,0,0,0,0,0,5.0,1.0,0,100.0,11.78,5.0
154,No,0,0,1,0,1,0,5.0,1.0,0,100.0,16.88,3.0
155,No,0,1,0,0,1,0,5.0,1.0,0,0.0,2.34,5.0
156,No,0,0,1,0,1,0,5.0,1.0,0,100.0,0.89,3.0
157,No,0,0,1,0,0,1,5.0,1.0,0,0.0,3.07,5.0
158,No,1,0,0,0,1,7,4.3,1.04,0,57.1,3.81,4.9
159,No,0,0,1,0,1,8,4.7,1.0,1,72.2,2.66,4.3
160,No,0,0,1,0,1,6,4.9,1.04,0,0.0,2.34,4.8
161,No,0,0,1,0,0,1,4.3,1.13,1,25.0,10.61,5.0
162,No,0,0,1,0,0,0,4.6,1.0,0,40.0,1.69,5.0
163,No,1,0,0,0,1,3,4.8,1.0,1,39.1,5.04,4.9
164,No,0,1,0,0,1,0,5.0,1.0,0,100.0,6.8,5.0
165,No,0,0,1,0,1,0,5.0,1.0,1,100.0,17.87,5.0
166,No,0,1,0,0,1,2,5.0,1.04,0,46.3,2.69,4.7
167,No,0,0,1,0,1,1,1.0,1.0,1,100.0,18.61,2.0
168,No,0,0,1,0,1,4,5.0,1.0,1,45.5,7.17,4.3
169,No,0,0,1,0,0,0,5.0,1.0,0,100.0,12.96,5.0
170,No,0,0,1,0,0,0,4.0,1.0,1,42.9,1.62,5.0
171,No,1,0,0,0,1,1,4.5,1.0,0,100.0,7.6,5.0
172,No,0,1,0,0,1,6,5.0,1.09,0,45.5,1.53,4.8
173,No,1,0,0,0,1,2,5.0,1.0,0,33.3,16.19,4.3
174,No,1,0,0,0,1,0,5.0,1.0,0,100.0,3.28,5.0
175,No,1,0,0,0,1,5,4.4,1.0,1,87.5,6.46,4.9
176,No,0,0,1,0,1,0,5.0,1.13,0,25.0,5.05,4.3
177,No,1,0,0,0,1,2,4.5,1.08,1,83.3,13.83,4.8
178,No,1,0,0,0,0,1,4.0,1.0,0,100.0,3.42,5.0
179,No,0,0,1,0,1,1,4.5,1.0,0,50.0,19.07,5.0
180,No,0,1,0,0,0,2,5.0,1.0,0,100.0,1.13,5.0
181,No,0,0,1,0,1,2,5.0,1.0,0,100.0,8.09,5.0
182,No,1,0,0,0,1,1,5.0,1.0,0,0.0,10.73,5.0
183,No,0,0,1,0,1,0,5.0,1.0,0,100.0,17.63,5.0
184,No,0,0,1,0,0,1,3.0,1.0,1,100.0,6.2,3.0
185,No,1,0,0,0,1,0,2.7,1.0,1,45.5,4.56,4.9
186,No,0,0,1,0,1,4,4.2,1.0,1,45.5,2.99,4.3
187,No,0,0,1,0,1,2,5.0,1.0,0,87.5,3.56,5.0
188,No,0,0,1,0,1,0,5.0,1.0,1,100.0,1.59,5.0
189,No,0,0,1,0,1,2,4.0,1.0,0,100.0,0.68,5.0
190,No,0,1,0,0,0,3,4.3,1.0,1,66.7,9.15,5.0
191,No,1,0,0,0,1,5,4.5,1.0,0,44.4,5.76,5.0
192,No,0,0,1,0,1,5,4.6,1.0,1,55.6,3.19,4.7
193,No,0,0,1,0,0,3,4.0,1.0,1,100.0,0.7,4.7
194,No,0,0,1,0,1,0,5.0,1.25,0,0.0,7.69,5.0
195,No,0,0,1,0,1,0,5.0,1.0,1,37.5,1.86,4.5
196,No,1,0,0,0,1,0,5.0,1.0,1,100.0,5.82,5.0
197,No,0,1,0,0,1,3,5.0,1.09,0,50.0,3.84,5.0
198,No,0,0,1,0,1,1,5.0,1.0,0,100.0,1.17,5.0
199,No,0,0,1,0,0,5,4.6,1.1,1,69.2,4.14,5.0
200,No,1,0,0,0,0,0,5.0,1.0,1,100.0,3.23,5.0
201,No,1,0,0,0,1,0,5.0,1.0,0,0.0,3.29,4.8
202,No,0,1,0,0,1,3,3.8,1.19,0,76.5,1.83,5.0
203,No,1,0,0,0,1,6,4.8,1.08,0,33.3,1.88,5.0
204,No,1,0,0,0,1,4,4.0,1.13,0,25.0,3.34,4.5
205,No,1,0,0,0,1,1,4.9,1.12,1,44.4,7.81,4.8
206,No,1,0,0,0,1,7,3.7,1.0,1,78.6,3.3,4.7
207,No,1,0,0,0,1,5,4.9,1.22,0,63.6,2.41,4.9
208,No,1,0,0,0,1,1,5.0,1.0,0,100.0,8.08,5.0
209,No,0,1,0,0,1,0,4.2,1.29,0,71.4,2.43,5.0
210,No,1,0,0,0,1,0,5.0,1.0,1,100.0,0.59,5.0
211,No,0,1,0,0,0,1,5.0,1.0,1,0.0,5.21,5.0
212,No,0,0,1,0,1,2,5.0,1.0,0,33.3,2.96,5.0
213,No,0,1,0,0,1,1,5.0,1.0,0,100.0,5.93,5.0
214,No,0,0,1,0,0,9,5.0,1.0,0,88.3,1.85,4.6
215,No,0,0,1,0,1,9,5.0,1.23,1,56.7,3.03,4.6
216,No,0,0,1,0,1,0,5.0,1.0,0,33.3,4.65,5.0
217,No,0,0,1,0,0,6,4.3,1.0,0,66.7,2.82,4.8
218,No,0,0,1,0,1,0,5.0,1.0,0,33.3,2.05,4.7
219,No,0,1,0,0,1,8,4.0,1.01,1,70.9,7.5,4.8
220,No,0,1,0,0,0,1,5.0,1.0,1,0.0,1.64,5.0
221,No,0,0,1,0,1,2,4.6,1.0,1,57.1,3.18,4.9
222,No,0,0,1,0,1,1,2.0,1.0,0,50.0,4.56,4.5
223,No,0,0,1,0,1,4,4.0,1.0,1,0.0,1.84,5.0
224,No,0,0,1,0,0,1,5.0,1.0,0,100.0,4.07,2.5
225,No,0,1,0,0,0,15,4.8,1.06,1,60.0,2.48,4.9
226,No,0,1,0,0,0,0,4.9,1.0,1,23.1,2.34,4.9
227,No,0,0,1,0,1,5,4.8,1.0,1,100.0,1.89,4.6
228,No,1,0,0,0,0,4,5.0,1.04,0,66.7,3.83,5.0
229,No,1,0,0,0,1,1,5.0,1.0,0,0.0,14.59,5.0
230,No,0,1,0,0,0,0,5.0,1.0,0,100.0,1.43,5.0
231,No,0,1,0,0,1,1,5.0,1.0,0,33.3,6.46,5.0
232,No,1,0,0,0,1,2,5.0,1.0,0,100.0,5.21,5.0
233,No,1,0,0,0,0,0,5.0,1.0,0,100.0,14.79,5.0
234,No,1,0,0,0,0,2,4.5,1.0,0,50.0,3.84,4.9
235,No,1,0,0,0,1,0,3.3,1.0,0,25.0,7.34,5.0
236,No,0,0,1,0,1,0,4.3,1.0,1,100.0,3.13,5.0
237,No,0,0,1,0,1,1,5.0,1.0,0,0.0,4.42,5.0
238,No,0,1,0,0,1,1,4.8,1.0,0,60.0,5.73,5.0
239,No,0,1,0,0,1,2,4.9,1.03,0,65.2,2.88,4.9
240,No,1,0,0,0,1,1,5.0,1.0,1,0.0,6.75,5.0
241,No,1,0,0,0,1,1,5.0,1.0,1,0.0,6.25,5.0
242,No,0,1,0,0,1,8,4.5,1.05,1,93.1,2.51,4.9
243,No,1,0,0,0,0,4,5.0,1.0,1,50.0,10.1,5.0
244,No,0,0,1,0,1,1,4.0,1.13,0,100.0,7.04,5.0
245,No,0,1,0,0,0,0,5.0,1.0,1,40.0,3.23,5.0
246,No,1,0,0,0,1,1,5.0,1.0,0,100.0,3.95,5.0
247,No,0,1,0,0,1,4,4.9,1.1,1,62.9,2.48,4.8
248,No,0,0,1,0,1,4,3.7,1.1,1,66.7,1.76,4.8
249,No,1,0,0,0,1,1,5.0,1.0,1,50.0,2.41,5.0
250,No,0,0,1,0,0,1,5.0,1.0,0,100.0,1.37,5.0
251,No,1,0,0,0,1,1,3.0,1.0,1,25.0,1.55,5.0
252,No,0,1,0,0,1,5,5.0,1.02,1,81.8,1.64,4.9
253,No,1,0,0,0,1,0,5.0,1.0,0,100.0,4.95,4.7
254,No,0,0,1,0,0,2,3.5,1.0,0,0.0,4.63,5.0
255,No,0,0,1,0,1,0,5.0,1.0,0,100.0,18.86,5.0
256,No,0,0,1,1,0,1,3.3,1.0,1,33.3,6.03,5.0
257,No,0,1,0,0,1,4,5.0,1.0,0,64.0,2.0,4.8
258,No,1,0,0,0,0,4,4.7,1.0,0,50.0,0.84,5.0
259,No,1,0,0,0,1,2,4.0,1.0,1,0.0,7.09,5.0
260,No,0,0,1,0,0,1,4.0,1.0,0,100.0,0.0,5.0
261,No,1,0,0,0,1,1,4.6,1.0,1,85.7,3.96,4.7
262,No,1,0,0,0,1,0,5.0,1.03,1,62.5,1.71,4.8
263,No,0,0,1,0,0,1,3.8,1.0,0,80.0,8.17,4.8
264,No,0,1,0,0,1,0,5.0,1.33,1,33.3,5.55,5.0
265,No,1,0,0,0,0,1,5.0,1.0,0,50.0,3.29,4.8
266,No,0,0,1,0,1,0,4.9,1.0,0,75.0,5.96,4.8
267,No,0,1,0,0,1,1,5.0,1.0,0,0.0,6.79,5.0
268,No,0,0,1,0,1,0,4.9,1.0,0,28.6,2.05,5.0
269,No,1,0,0,0,1,6,4.9,1.02,0,50.0,4.11,4.9
270,No,0,1,0,0,0,22,4.8,1.08,1,88.9,6.07,4.7
271,No,0,1,0,0,0,0,5.0,1.0,0,100.0,5.64,5.0
272,No,1,0,0,0,1,1,5.0,1.0,0,100.0,4.69,5.0
273,No,0,1,0,0,0,3,5.0,1.0,0,33.3,4.1,5.0
274,No,1,0,0,0,1,1,5.0,1.0,1,100.0,7.8,5.0
275,No,0,0,1,0,0,3,4.0,1.0,0,66.7,2.7,5.0
276,No,0,0,1,0,1,5,4.8,1.0,0,61.5,2.17,4.9
277,No,0,0,1,0,1,6,4.5,1.0,0,60.0,3.12,4.9
278,No,0,1,0,0,1,5,4.0,1.09,1,45.5,8.41,4.8
279,No,0,0,1,0,1,1,5.0,1.0,0,100.0,6.16,5.0
280,No,1,0,0,0,0,0,5.0,1.0,0,33.3,9.5,4.7
281,No,1,0,0,0,0,2,5.0,1.0,0,50.0,14.18,5.0
282,No,1,0,0,0,1,0,5.0,1.07,0,57.1,8.53,5.0
283,No,0,1,0,0,1,2,5.0,1.19,0,12.5,7.05,5.0
284,No,1,0,0,0,1,3,4.0,1.0,0,66.7,2.67,5.0
285,No,0,1,0,0,0,0,5.0,1.0,0,100.0,8.44,5.0
286,No,0,1,0,0,0,0,5.0,1.0,0,100.0,1.77,5.0
287,No,0,1,0,1,0,5,4.9,1.02,0,66.7,3.08,4.8
288,No,0,0,1,0,1,0,5.0,1.0,0,57.1,3.5,4.7
289,No,0,0,1,0,0,7,4.9,1.18,0,7.1,4.67,4.2
290,No,1,0,0,0,0,5,4.0,1.0,1,100.0,0.79,5.0
291,No,1,0,0,0,0,13,4.8,1.0,1,100.0,3.17,4.7
292,No,1,0,0,0,1,0,5.0,1.0,1,100.0,1.42,5.0
293,No,0,1,0,0,1,2,5.0,1.0,0,100.0,1.88,5.0
294,No,1,0,0,0,1,4,4.7,1.0,1,79.2,6.28,4.9
295,No,1,0,0,0,1,1,5.0,1.0,1,0.0,4.29,5.0
296,No,0,0,1,0,0,1,3.5,1.0,1,66.7,8.88,4.7
297,No,0,0,1,0,0,3,4.5,1.0,0,100.0,5.33,4.7
298,No,1,0,0,0,1,0,4.6,1.0,1,60.0,9.2,4.8
299,No,1,0,0,0,1,0,4.4,1.06,0,66.7,3.99,4.9
300,No,0,0,1,0,1,3,4.8,1.04,0,54.8,2.76,4.7
301,No,0,0,1,0,1,5,4.0,1.0,1,50.0,4.62,4.7
302,No,1,0,0,0,0,5,5.0,1.1,0,40.0,3.66,4.8
303,No,0,1,0,0,1,13,4.7,1.07,1,76.9,5.77,4.9
304,No,0,0,1,0,1,2,5.0,1.35,0,80.0,4.05,5.0
305,No,0,0,1,0,1,5,4.4,1.0,0,31.0,1.51,4.7
306,No,0,1,0,0,1,0,5.0,1.0,0,33.3,1.88,5.0
307,No,0,0,1,0,1,4,4.5,1.0,0,92.9,1.43,4.3
308,No,0,0,1,0,1,5,5.0,1.3,1,56.1,1.91,4.9
309,No,1,0,0,0,1,7,4.9,1.18,1,46.7,3.6,4.8
310,No,0,0,1,0,1,0,5.0,1.0,0,16.7,4.51,4.7
311,No,1,0,0,0,1,1,4.0,1.0,0,0.0,14.99,5.0
312,No,1,0,0,0,1,2,5.0,1.0,0,0.0,2.41,5.0
313,No,0,0,1,0,1,1,3.0,1.0,0,100.0,0.8,4.0
314,No,1,0,0,0,0,3,4.3,1.0,0,66.7,2.26,5.0
315,No,1,0,0,0,0,3,5.0,1.0,1,0.0,1.29,5.0
316,No,1,0,0,0,0,0,5.0,1.0,0,100.0,1.24,5.0
317,No,0,1,0,0,1,8,4.3,1.25,0,66.7,3.39,4.8
318,No,0,0,1,0,0,0,5.0,1.0,0,100.0,5.42,5.0
319,No,0,0,1,0,1,1,5.0,1.04,0,61.5,3.31,4.9
320,No,1,0,0,0,0,2,4.3,1.04,1,57.1,6.67,4.9
321,No,0,0,1,0,1,8,5.0,1.0,0,100.0,1.13,4.4
322,No,0,0,1,0,1,1,5.0,1.45,1,0.0,4.25,4.6
323,No,1,0,0,0,1,2,5.0,1.0,0,100.0,14.24,5.0
324,No,0,1,0,0,0,2,5.0,1.0,0,0.0,7.96,5.0
325,No,0,1,0,1,0,3,4.8,1.13,0,85.7,5.09,4.4
326,No,0,0,1,0,1,2,4.1,1.33,0,55.6,5.28,4.6
327,No,0,0,1,0,1,5,3.5,1.0,1,100.0,3.22,4.0
328,No,0,0,1,0,1,17,4.6,1.07,0,94.4,3.4,4.8
329,No,0,1,0,0,1,1,2.0,1.0,1,50.0,14.18,5.0
330,No,1,0,0,0,1,0,5.0,1.0,0,100.0,2.02,5.0
331,No,0,1,0,0,1,2,5.0,1.0,1,0.0,2.98,5.0
332,No,0,1,0,0,0,2,5.0,1.0,0,100.0,8.36,5.0
333,No,0,1,0,0,1,7,4.9,1.07,0,91.9,4.88,4.9
334,No,0,0,1,0,1,0,3.0,1.0,1,100.0,8.18,2.5
335,No,0,0,1,0,0,7,5.0,1.0,1,60.0,3.58,4.8
336,No,0,0,1,0,1,0,5.0,1.0,1,100.0,17.93,5.0
337,No,0,1,0,0,0,0,5.0,1.0,0,100.0,4.64,5.0
338,No,0,1,0,0,1,1,5.0,1.0,1,100.0,1.58,5.0
339,No,0,0,1,0,0,2,4.8,1.0,0,100.0,3.21,5.0
340,No,1,0,0,0,0,2,4.5,1.0,1,85.7,5.58,5.0
341,No,1,0,0,0,0,0,5.0,1.0,0,100.0,2.91,5.0
342,No,0,1,0,0,1,20,4.9,1.08,1,52.2,2.15,4.8
343,No,1,0,0,0,0,0,5.0,1.0,0,100.0,0.84,5.0
344,No,0,1,0,0,1,4,4.8,1.07,0,84.2,13.15,4.9
345,No,1,0,0,0,0,2,3.5,1.04,0,100.0,3.46,5.0
346,No,0,0,1,0,1,0,5.0,1.0,0,75.0,5.93,5.0
347,No,0,0,1,0,1,0,4.0,1.0,0,100.0,11.36,4.5
348,No,1,0,0,0,1,1,5.0,1.0,0,50.0,6.15,5.0
349,No,1,0,0,0,1,2,5.0,1.0,1,0.0,6.46,5.0
350,No,1,0,0,0,1,0,5.0,1.0,1,100.0,9.92,5.0
351,No,0,0,1,0,1,3,4.5,1.0,1,44.4,6.93,4.7
352,No,0,1,0,0,1,0,4.7,1.05,1,62.5,1.96,5.0
353,No,1,0,0,0,1,0,5.0,1.04,1,33.3,4.19,4.3
354,No,0,0,1,0,0,2,4.5,1.0,0,75.0,13.12,4.3
355,No,1,0,0,0,1,1,5.0,1.0,0,0.0,2.05,5.0
356,No,1,0,0,0,1,4,4.8,1.06,0,100.0,3.5,3.8
357,No,0,0,1,0,0,1,5.0,1.0,0,0.0,13.92,5.0
358,No,0,0,1,0,0,1,1.0,1.0,0,0.0,9.01,5.0
359,No,1,0,0,0,1,0,5.0,1.0,0,0.0,1.12,5.0
360,No,0,0,1,0,1,0,4.0,1.0,0,0.0,7.24,4.5
361,No,1,0,0,0,0,1,5.0,1.0,0,100.0,13.9,5.0
362,No,0,0,1,0,1,1,5.0,1.0,0,0.0,0.0,5.0
